Product_Name,Pricing,Rating
Redmi Note 7 Pro (Space Black| 64 GB),Rs.10999,4.52,53,492
Redmi Note 6 Pro (Red| 64 GB),Rs.9999,4.51,16,522
Redmi 8A (Midnight Black| 32 GB),Rs.6499,4.41,19,065
Redmi 8A (Ocean Blue| 32 GB),Rs.6499,4.41,19,065
Redmi Note 7 Pro (Space Black| 64 GB),Rs.9999,4.57,82,549
Redmi Go (Black| 8 GB),Rs.4299,4.31,54,643
Redmi Note 7 Pro (Neptune Blue| 128 GB),Rs.11999,4.52,53,492
Mi Mix 2 (Black| 128 GB),Rs.29999,4.44,184
Redmi Note 7 Pro (Astro Moonlight White| 128 GB),Rs.11999,4.52,53,492
Redmi 8A (Sunset Red| 32 GB),Rs.6999,4.41,08,964
Redmi Note 7 Pro (Space Black| 128 GB),Rs.11999,4.52,53,492
Redmi Note 7 Pro (Neptune Blue| 64 GB),Rs.9999,4.57,82,549
Redmi Go (Blue| 16 GB),Rs.4499,4.31,54,643
Redmi Note 8 (Moonlight White| 128 GB),Rs.13390,4.47,528
Redmi Note 8 (Cosmic Purple| 128 GB),Rs.13699,4.47,528
Redmi Note 8 (Space Black| 64 GB),Rs.11906,4.410,160
Redmi 8A (Ocean Blue| 32 GB),Rs.6999,4.41,08,964
Redmi Note 6 Pro (Rose Gold| 64 GB),Rs.9999,4.51,16,522
Mi A3 (More Than White| 64 GB),Rs.11999,4.324,627
Redmi Note 8 (Neptune Blue| 128 GB),Rs.13690,4.47,528
Redmi Note 7 Pro (Nebula Red| 128 GB),Rs.11999,4.52,53,492
Redmi Note 6 Pro (Black| 64 GB),Rs.9999,4.51,16,522
Redmi Note 8 Pro (Electric Blue| 64 GB),Rs.15401,4.5449
Redmi K20 Pro (Glacier Blue| 128 GB),Rs.24999,4.553,284
Redmi Note 7 Pro (Space Black| 64 GB),Rs.10999,4.52,53,492
Redmi Note 6 Pro (Red| 64 GB),Rs.9999,4.51,16,522
Redmi 8A (Midnight Black| 32 GB),Rs.6499,4.41,19,065
Redmi 8A (Ocean Blue| 32 GB),Rs.6499,4.41,19,065
Redmi Note 7 Pro (Space Black| 64 GB),Rs.9999,4.57,82,549
Redmi Go (Black| 8 GB),Rs.4299,4.31,54,643
Redmi Note 7 Pro (Neptune Blue| 128 GB),Rs.11999,4.52,53,492
Mi Mix 2 (Black| 128 GB),Rs.29999,4.44,184
Redmi Note 7 Pro (Astro Moonlight White| 128 GB),Rs.11999,4.52,53,492
Redmi 8A (Sunset Red| 32 GB),Rs.6999,4.41,08,964
Redmi Note 7 Pro (Space Black| 128 GB),Rs.11999,4.52,53,492
Redmi Note 7 Pro (Neptune Blue| 64 GB),Rs.9999,4.57,82,549
Redmi Go (Blue| 16 GB),Rs.4499,4.31,54,643
Redmi Note 8 (Moonlight White| 128 GB),Rs.13390,4.47,528
Redmi Note 8 (Cosmic Purple| 128 GB),Rs.13699,4.47,528
Redmi Note 8 (Space Black| 64 GB),Rs.11906,4.410,160
Redmi 8A (Ocean Blue| 32 GB),Rs.6999,4.41,08,964
Redmi Note 6 Pro (Rose Gold| 64 GB),Rs.9999,4.51,16,522
Mi A3 (More Than White| 64 GB),Rs.11999,4.324,627
Redmi Note 8 (Neptune Blue| 128 GB),Rs.13690,4.47,528
Redmi Note 7 Pro (Nebula Red| 128 GB),Rs.11999,4.52,53,492
Redmi Note 6 Pro (Black| 64 GB),Rs.9999,4.51,16,522
Redmi Note 8 Pro (Electric Blue| 64 GB),Rs.15401,4.5449
Redmi K20 Pro (Glacier Blue| 128 GB),Rs.24999,4.553,284
Redmi Note 7 Pro (Space Black| 64 GB),Rs.10999,4.52,53,492
Redmi Note 6 Pro (Red| 64 GB),Rs.9999,4.51,16,522
Redmi 8A (Midnight Black| 32 GB),Rs.6499,4.41,19,065
Redmi 8A (Ocean Blue| 32 GB),Rs.6499,4.41,19,065
Redmi Note 7 Pro (Space Black| 64 GB),Rs.9999,4.57,82,549
Redmi Go (Black| 8 GB),Rs.4299,4.31,54,643
Redmi Note 7 Pro (Neptune Blue| 128 GB),Rs.11999,4.52,53,492
Mi Mix 2 (Black| 128 GB),Rs.29999,4.44,184
Redmi Note 7 Pro (Astro Moonlight White| 128 GB),Rs.11999,4.52,53,492
Redmi 8A (Sunset Red| 32 GB),Rs.6999,4.41,08,964
Redmi Note 7 Pro (Space Black| 128 GB),Rs.11999,4.52,53,492
Redmi Note 7 Pro (Neptune Blue| 64 GB),Rs.9999,4.57,82,549
Redmi Go (Blue| 16 GB),Rs.4499,4.31,54,643
Redmi Note 8 (Moonlight White| 128 GB),Rs.13390,4.47,528
Redmi Note 8 (Cosmic Purple| 128 GB),Rs.13699,4.47,528
Redmi Note 8 (Space Black| 64 GB),Rs.11906,4.410,160
Redmi 8A (Ocean Blue| 32 GB),Rs.6999,4.41,08,964
Redmi Note 6 Pro (Rose Gold| 64 GB),Rs.9999,4.51,16,522
Mi A3 (More Than White| 64 GB),Rs.11999,4.324,627
Redmi Note 8 (Neptune Blue| 128 GB),Rs.13690,4.47,528
Redmi Note 7 Pro (Nebula Red| 128 GB),Rs.11999,4.52,53,492
Redmi Note 6 Pro (Black| 64 GB),Rs.9999,4.51,16,522
Redmi Note 8 Pro (Electric Blue| 64 GB),Rs.15401,4.5449
Redmi K20 Pro (Glacier Blue| 128 GB),Rs.24999,4.553,284
Redmi Note 7 Pro (Space Black| 64 GB),Rs.10999,4.52,53,492
Redmi Note 6 Pro (Red| 64 GB),Rs.9999,4.51,16,522
Redmi 8A (Midnight Black| 32 GB),Rs.6499,4.41,19,065
Redmi 8A (Ocean Blue| 32 GB),Rs.6499,4.41,19,065
Redmi Note 7 Pro (Space Black| 64 GB),Rs.9999,4.57,82,549
Redmi Go (Black| 8 GB),Rs.4299,4.31,54,643
Redmi Note 7 Pro (Neptune Blue| 128 GB),Rs.11999,4.52,53,492
Mi Mix 2 (Black| 128 GB),Rs.29999,4.44,184
Redmi Note 7 Pro (Astro Moonlight White| 128 GB),Rs.11999,4.52,53,492
Redmi 8A (Sunset Red| 32 GB),Rs.6999,4.41,08,964
Redmi Note 7 Pro (Space Black| 128 GB),Rs.11999,4.52,53,492
Redmi Note 7 Pro (Neptune Blue| 64 GB),Rs.9999,4.57,82,549
Redmi Go (Blue| 16 GB),Rs.4499,4.31,54,643
Redmi Note 8 (Moonlight White| 128 GB),Rs.13390,4.47,528
Redmi Note 8 (Cosmic Purple| 128 GB),Rs.13699,4.47,528
Redmi Note 8 (Space Black| 64 GB),Rs.11906,4.410,160
Redmi 8A (Ocean Blue| 32 GB),Rs.6999,4.41,08,964
Redmi Note 6 Pro (Rose Gold| 64 GB),Rs.9999,4.51,16,522
Mi A3 (More Than White| 64 GB),Rs.11999,4.324,627
Redmi Note 8 (Neptune Blue| 128 GB),Rs.13690,4.47,528
Redmi Note 7 Pro (Nebula Red| 128 GB),Rs.11999,4.52,53,492
Redmi Note 6 Pro (Black| 64 GB),Rs.9999,4.51,16,522
Redmi Note 8 Pro (Electric Blue| 64 GB),Rs.15401,4.5449
Redmi K20 Pro (Glacier Blue| 128 GB),Rs.24999,4.553,284
Redmi Note 7 Pro (Space Black| 64 GB),Rs.10999,4.52,53,492
Redmi Note 6 Pro (Red| 64 GB),Rs.9999,4.51,16,522
Redmi 8A (Midnight Black| 32 GB),Rs.6499,4.41,19,065
Redmi 8A (Ocean Blue| 32 GB),Rs.6499,4.41,19,065
Redmi Note 7 Pro (Space Black| 64 GB),Rs.9999,4.57,82,549
Redmi Go (Black| 8 GB),Rs.4299,4.31,54,643
Redmi Note 7 Pro (Neptune Blue| 128 GB),Rs.11999,4.52,53,492
Mi Mix 2 (Black| 128 GB),Rs.29999,4.44,184
Redmi Note 7 Pro (Astro Moonlight White| 128 GB),Rs.11999,4.52,53,492
Redmi 8A (Sunset Red| 32 GB),Rs.6999,4.41,08,964
Redmi Note 7 Pro (Space Black| 128 GB),Rs.11999,4.52,53,492
Redmi Note 7 Pro (Neptune Blue| 64 GB),Rs.9999,4.57,82,549
Redmi Go (Blue| 16 GB),Rs.4499,4.31,54,643
Redmi Note 8 (Moonlight White| 128 GB),Rs.13390,4.47,528
Redmi Note 8 (Cosmic Purple| 128 GB),Rs.13699,4.47,528
Redmi Note 8 (Space Black| 64 GB),Rs.11906,4.410,160
Redmi 8A (Ocean Blue| 32 GB),Rs.6999,4.41,08,964
Redmi Note 6 Pro (Rose Gold| 64 GB),Rs.9999,4.51,16,522
